Shift; Sign on; Sign off; Route; Direction; Variation; Trip; DestinationSign; Stop; RouteDescription; Departure Time; Arrival Time; Ends with runoff
W1106;1050;2012;0014;01;03;1211;090;;Molesworth St ;1348;1400;True;
W1106;1050;2012;0616;01;01;9180;616;;-Display School Signs- ;1530;-Roll Destination Show 16 Karori Park- ;False;
W1106;1050;2012;0045;01;01;2823;205;;Khandallah Village  ;1705;1729;False;
W1106;1050;2012;0045;02;02;2822;204;;Brandon Street ;1729;1749;False;
W1106;1050;2012;0022;01;05;1489;128;;Victoria University - Kelburn Parade  ;1800;1814;False;
W1106;1050;2012;0022;02;02;2520;130;;Victoria University - Kelburn Parade  ;1855;1910;False;
W1107;0529;1432;0001;01;03;0001;004;;Island Bay - Terminus ;0558;0609;False;
W1107;0529;1432;0001;02;02;0004;002;Wellington Station (Stop D) ;Island Bay - Terminus ;0610;0636;False;
W1107;0529;1432;0001;01;01;0009;004;Wellington Station (Stop A) ;Island Bay - Terminus ;0645;0717;False;
W1107;0529;1432;0001;02;02;0016;002;Wellington Station (Stop D) ;Island Bay - Terminus ;0724;0752;False;
W1107;0529;1432;0001;01;01;0023;004;Wellington Station (Stop A) ;Island Bay - Terminus ;0758;0838;False;
W1107;0529;1432;0001;02;02;0030;002;Wellington Station (Stop D) ;Island Bay - Terminus ;0849;0929;True;
W1107;0529;1432;0010;01;01;0739;050;Wellington Station (Stop B} ;Newtown Park Zoo ;1055;1119;False;
W1107;0529;1432;0010;02;02;0722;048;Wellington Station (Stop D) ;Newtown Park Zoo ;1122;1149;False;
W1107;0529;1432;0007;01;01;0477;036;Wellington Station (Stop B} ;Kingston Terminal - Quebec Street ;1202;1228;False;
W1107;0529;1432;0007;02;02;0488;034;;Brooklyn Shops - Cleveland Street ;1231;1239;False;
W1107;0529;1432;0007;01;01;0483;036;Wellington Station (Stop B} ;Kingston Terminal - Quebec Street ;1302;1328;False;
W1107;0529;1432;0007;02;02;0494;034;;Brooklyn Shops - Cleveland Street ;1331;1339;False;
W1108;1125;2043;0018;02;02;1364;389;;Miramar Terminus  ;1143;1202;False;
W1108;1125;2043;0018;01;01;1377;388;;Massey University - Wallace Street  ;1212;1235;False;
W1108;1125;2043;0018;02;02;1368;389;;Victoria University - Kelburn Parade  ;1307;1324;False;
W1108;1125;2043;0018;01;01;1385;388;;Kilbirnie Shops-Rongotai Rd  ;1405;1417;False;
W1108;1125;2043;0011;01;01;0887;055;Wellington Station (Stop B} ;Seatoun Park - Hector Street ;1615;1704;False;
W1108;1125;2043;0011;02;02;0898;053;Wellington Station (Stop D) ;Seatoun Park - Hector Street ;1720;1813;False;
W1108;1125;2043;0007;01;01;0533;036;Wellington Station (Stop B} ;Kingston Terminal - Quebec Street ;1818;1843;False;
W1108;1125;2043;0007;02;02;0534;034;;Brooklyn Shops - Cleveland Street ;1852;1900;False;
W1108;1125;2043;0007;01;01;0541;036;Wellington Station (Stop B} ;Kingston Terminal - Quebec Street ;1930;1950;False;
W1108;1125;2043;0007;02;02;0540;034;;Brooklyn Shops - Cleveland Street ;1953;2000;False;
W1109;0537;1450;0002;01;05;0201;016;;Miramar Terminus - Darlington Road ;0557;0609;False;
W1109;0537;1450;0002;02;02;0204;014;;Kilbirnie Shops - Rongotai Road  ;0610;0620;False;
W1109;0537;1450;0002;01;01;0209;016;Wellington Station (Stop A) ;Miramar Terminus - Darlington Road ;0653;0730;False;
W1109;0537;1450;0002;02;02;0218;014;Wellington Station (Stop D) ;Miramar Terminus - Darlington Road ;0740;0830;False;
